date,excellent,fair,good,link,product_id,product_name,rating,reviews
27_Oct_22,359.00,288.82,356.42,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-64-gb-white-unlocked/45ee82f0-6e1c-42e7-90fc-69337d58b712,iPhone 12 mini 64 GB - White - Unlocked,iPhone 12 mini,4.3/5,(179 reviews)
27_Oct_22,359.00,309.00,319.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-64-gb-productred-unlocked/d9eb0d56-3928-41b4-94ea-0d3f4d0a0744,iPhone 12 mini 64 GB - Red - Unlocked,iPhone 12 mini,4.3/5,(180 reviews)
27_Oct_22,359.00,297.05,316.61,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-64-gb-black-unlocked/e3464129-30d2-4eeb-b094-7de36afd0f64,iPhone 12 mini 64 GB - Black - Unlocked,iPhone 12 mini,4.3/5,(180 reviews)
27_Oct_22,359.00,309.00,319.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-64-gb-blue-unlocked/463cf129-36b9-4abf-971b-c23391ca5800,iPhone 12 mini 64 GB - Blue - Unlocked,iPhone 12 mini,4.3/5,(180 reviews)
27_Oct_22,399.00,303.18,369.99,https://www.backmarket.co.uk/en-gb/p/iphone-11-256-gb-black-unlocked/e04ea1fb-2779-4ac8-bed5-571eb9c13102,iPhone 11 256 GB - Black - Unlocked,iPhone 11,4.3/5,"(1,584 reviews)"
27_Oct_22,474.00,423.55,444.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-256-gb-blue-unlocked/3610d940-bd34-4092-b219-232aeaea6a67,iPhone 12 256 GB - Blue - Unlocked,iPhone 12,4.3/5,(410 reviews)
27_Oct_22,995.95,773.65,824.99,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-256-gb-silver-unlocked/9fc0c813-9ef3-4a52-918b-e719c733bd69,iPhone 13 Pro Max 256 GB - Silver - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,893.30,787.50,980.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-256-gb-sierra-blue-unlocked/75fda94e-249d-4177-919d-2b521c3f71c5,iPhone 13 Pro Max 256 GB - Sierra Blue - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,906.33,804.92,848.96,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-256-gb-graphite-unlocked/1367d382-6e73-44f0-907a-18cc8d448a36,iPhone 13 Pro Max 256 GB - Graphite - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,474.00,428.35,444.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-256-gb-black-unlocked/86ce7095-db99-4d6f-a800-a48a7fa5db2f,iPhone 12 256 GB - Black - Unlocked,iPhone 12,4.3/5,(411 reviews)
27_Oct_22,574.59,459.32,528.08,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-256-gb-graphite-unlocked/4b95c04e-ff61-49ce-8e61-08a3906c33a2,iPhone 12 Pro 256 GB - Graphite - Unlocked,iPhone 12 Pro,4.3/5,(213 reviews)
27_Oct_22,565.08,449.50,533.03,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-256-gb-gold-unlocked/98562c21-3477-49b1-aece-b2e81e0dd700,iPhone 12 Pro 256 GB - Gold - Unlocked,iPhone 12 Pro,4.3/5,(213 reviews)
