date,excellent,fair,good,link,product_id,product_name,provider,rating,reviews
31_Oct_22,245.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-productred-unlocked/3e27d9ea-a249-436a-99de-f18009238de8,iPhone 7 256 GB - (Product)Red - Unlocked,iPhone 7,Regents Impex Ltd,4.2,290
31_Oct_22,169.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-gold-unlocked/8545d0ca-a361-4e79-99a5-cf5df8086006,iPhone 7 256 GB - Gold - Unlocked,iPhone 7,MMAPHONESLTD,4.2,290
31_Oct_22,228.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-rose-gold-unlocked/74d3a602-a926-4494-9b53-da6c811a3094,iPhone 7 256 GB - Rose Gold - Unlocked,iPhone 7,Regents Impex Ltd,4.2,290
31_Oct_22,"1,200.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-graphite-unlocked/bbafec5a-2bb4-4d1a-94da-7889b0295c67,iPhone 13 Pro Max 1000 GB - Graphite - Unlocked,iPhone 13 Pro Max,BEST4TECH,4.6,121
31_Oct_22,"1,299.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-graphite-unlocked/f21ed65d-0d37-48ed-8adb-f5a9a95f01c7,iPhone 13 Pro Max 1000 GB - Alpine Green - Unlocked,iPhone 13 Pro Max,Getmobiles.co.uk,4.6,121
31_Oct_22,"1,055.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/gb/caa34382-eb03-46b9-a30e-9d2c2547922f,iPhone 14 Plus 256 GB - Blue - Unlocked,iPhone 14 Plus,(NI) Britain Tech Ltd,N/A,N/A
31_Oct_22,"1,389.13","1,099.00",Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-sierra-blue-unlocked/372ef883-4c52-4a89-98ce-0ae3d216cad5,iPhone 13 Pro Max 1000 GB - Sierra Blue - Unlocked,iPhone 13 Pro Max,Stock Must Go Ltd,4.6,121
31_Oct_22,"1,246.00",Sold out,"1,388.26",https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-gold-unlocked/d2fffd8d-f0e5-438b-aecd-e8506e52ab8d,iPhone 13 Pro Max 1000 GB - Gold - Unlocked,iPhone 13 Pro Max,musicMagpie,4.6,121
31_Oct_22,"1,055.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/gb/141206ea-5786-460a-bb6f-de16e222fee3,iPhone 14 Plus 256 GB - Midnight - Unlocked,iPhone 14 Plus,(NI) Britain Tech Ltd,N/A,N/A
31_Oct_22,"1,050.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/gb/67ec5d65-ee69-4a23-861e-86356f12b15d,iPhone 14 Plus 256 GB - Purple - Unlocked,iPhone 14 Plus,(NI) Britain Tech Ltd,N/A,N/A
